brand_name,model_name,screen_size,ram,storage,cpu,operating_system,price,rating,reviews,graphics,card_description
HP,15s-fq5007TU,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"36,990",4.0,941 ratings,Not available,Integrated
Dell,Vostro,15.6 Inches,8 GB,512 GB,Core i3 Family,Windows 11 Home,"33,990",3.7,725 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"52,990",3.7,108 ratings,Not available,Integrated
HP,eq2100 series,39.6 Centimetres,16 GB,512 GB,AMD Ryzen 5 5500U,Windows 11 Home,"41,990",4.1,"1,676 ratings",Not available,Integrated
Dell,Vostro,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"43,990",3.5,441 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Core i5,Windows 11 Home,"55,780",4.1,675 ratings,Not available,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Home,"31,490",4.1,"1,391 ratings",Not available,Integrated
HP,15s-fy5011TU,15.6 Inches,8 GB,512 GB,Intel Core i3,Windows 11 Home,"37,490",4.1,"1,950 ratings",Not available,Integrated
HP,16-e0350ax,39.6 Centimetres,16 GB,512 GB,AMD Ryzen 5 5600X,Windows 11 Home,"60,990",4.2,167 ratings,Not available,Dedicated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"39,490",4.0,88 ratings,Not available,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Intel Core i5,Windows 11 Home,"48,990",3.9,49 ratings,Not available,Integrated
HP,255 G9,15.6 Inches,4 GB,256 GB,Athlon Silver 3050U,Windows 11 Pro,"21,830",5.0,1 rating,Not available,Integrated
Dell,Inspiron 3535,15.6 Inches,8 GB,Null,Ryzen 3,Windows 11 Home,"28,990",3.0,4 ratings,Not available,Integrated
HP,HP Laptop,15.6 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"50,999",3.7,192 ratings,Not available,Integrated
